case_id,alpha_deg,Re,thickness,regime
48,7.122426930946056,2228839.8860660195,0.10661185289472239,A
49,1.6546710279343282,2936833.8492374485,0.14031800347497186,A
50,2.572900716804099,2623813.6872888138,0.13363641041126378,A
51,5.463352971076089,2331330.284463818,0.1536323058305936,A
52,4.111005192452768,2976045.977161153,0.10904645041272,A
53,2.6358465728544274,1965289.9017835283,0.15667756436184227,A
54,0.15986584841970367,2390573.409485482,0.16789855418852706,A
55,2.2140924224974765,2500645.933738486,0.10736636184329369,A
56,2.135675332669359,2095705.634624148,0.12507404465173408,A
57,4.63636296023793,2119339.297231626,0.11696958462776456,A
58,7.054873378936659,2380720.914051018,0.12207455064367978,A
59,4.950267902322886,2844603.360400266,0.1349075664739261,A
60,7.524398964337909,2759280.538389274,0.1492786464642366,A
61,7.409367476782809,2793844.9046971165,0.17679481130354163,A
62,3.918657005888604,1517825.893245186,0.17749251769381885,A
63,0.20580836121681995,2489280.3677874133,0.1011559945203362,A
64,5.701658782892785,1724355.600620148,0.14570301895889518,A
65,5.372821634861187,1664722.049276119,0.17426520236768173,A
66,2.4005522117123608,1927541.1933891382,0.11268423302651216,A
67,1.7775132823361115,2648586.4055196596,0.12872960617833806,A
68,6.688708642426512,2993352.6055482593,0.14322210781047073,A
69,3.2522732829381997,2578351.7448431114,0.17539309772466677,A
70,3.1561277197569497,2881080.2417306313,0.13953934224191566,A
71,6.281722220020122,2672910.01521749,0.17828077236244086,A
72,5.938673534630054,1803466.0210411036,0.1643390297910487,A
73,5.2672135547405885,1854785.1419066833,0.1666420316461543,A
74,7.819524298779805,2060385.238923306,0.11180839734811647,A
75,2.398688693660052,1726831.3521376196,0.1420069521305312,A
76,3.6228798165491622,1787094.5826766766,0.1501448948720912,A
77,0.5183404509853434,2474730.946014574,0.16092469361827857,A
78,4.532320293202075,2247985.481221687,0.17917711067940706,A
79,2.9637557471355214,2522545.775326402,0.1320254191267441,A
80,10.823253204362508,1251986.0037133768,0.16404636893538738,B
81,11.485420966777179,2464605.5946626486,0.21872714371273905,B
82,15.415426563288806,1533171.4569989964,0.23714614428921627,B
83,11.052892436912147,2345109.027483928,0.16195856195186661,B
84,15.128659015800302,2814332.6653642743,0.14566087789827054,B
85,10.019287015071122,1942248.3063525092,0.17550144007518492,B
86,10.615323313483659,2389150.3369797803,0.20949075436314135,B
87,13.158535321951117,1749976.608418589,0.18474688288344526,B
88,15.590553197775233,2591436.212583295,0.15275787459289727,B
89,14.731850483140377,2033261.4713457352,0.1547695889623453,B
90,12.32630789087671,1879460.2159072757,0.13745766247091903,B
91,13.099079473470676,2678866.1280212784,0.19572883033744043,B
92,13.669903856320595,1133597.6371828243,0.13975714915139864,B
93,12.842241310942967,2225385.796089502,0.16878735162136257,B
94,15.867392358459284,2756789.1355686514,0.2028868001521958,B
95,13.454781242776505,1413577.2260317898,0.18169087645991733,B
96,12.440964428074558,2066300.8968098315,0.197363079025285,B
97,14.265309825281694,2935521.9589816434,0.22961134175691889,B
98,10.406454205446197,1013544.726141643,0.2246693723627165,B
99,13.921674774649574,1593557.6078286269,0.13235184222149454,B
100,11.272437633465959,1344060.4078449446,0.12083448048096031,B
101,12.056586458395557,1234411.2950936016,0.12495237576707488,B
102,11.861836222389234,2849594.4524729005,0.23289527634732587,B
103,15.02365141450982,1711852.467028325,0.21273454280613285,B
104,14.462108995419136,2128054.1616590214,0.1912703520747429,B
105,4.891444500934717,333472.28561024135,0.11239904014444249,C
106,2.659995996541536,969218.1643057031,0.09447887601454406,C
107,1.607063944418417,768244.2295069912,0.13268752840072598,C
108,4.316505705667294,590133.4500312897,0.11965149771995007,C
109,1.1243721488340463,854901.6671706192,0.08130867355581282,C
110,2.226721865828375,465844.11097054795,0.14252259742511253,C
111,7.738649809829475,515950.72957292036,0.0856456164890282,C
112,0.4968155134447294,699225.0986198073,0.11431709292799681,C
113,4.612924015173586,616483.1748811421,0.14518031768913991,C
114,6.9030310380493685,401761.7090856537,0.1356537043505182,C
115,7.185563170339036,576661.4306709785,0.12375954996278826,C
116,3.3028963488843432,688202.5346716598,0.09897048527013538,C
117,5.641560132350521,488295.88256946736,0.09193003443251295,C
118,7.407102224914513,747735.5023224634,0.10109243743745275,C
119,3.1363049680236514,671372.4729909725,0.12587312990191868,C
120,3.590344540428804,632416.9543947743,0.13967278616183554,C
121,6.399743676017696,422266.95642185764,0.14985285293090422,C
122,6.643864145050467,899484.1845612436,0.1088911253025643,C
123,4.022854929323494,979723.1285142464,0.11651152154567299,C
124,1.3538353018061289,353339.3597856933,0.09821120524594304,C
125,0.06288886659950105,794634.1769663892,0.13036697797702843,C
126,5.899858668332491,913424.225639425,0.10441641681353891,C
127,2.0040462023590218,302894.66745749046,0.10695471601583667,C
128,7.51601431622783,834476.6297613734,0.12148688668547075,C
129,0.6191807657318835,534615.4633427385,0.14701557391189807,C
130,0.8440282775349679,935582.0278429093,0.08411709510149776,C
131,5.068242757756332,373148.27483610634,0.08754246923288218,C
132,5.594117418674815,864325.2726516377,0.12755150446281674,C
133,2.736996797006463,448202.0534954359,0.09011903629346746,C
134,3.9474892379551707,727198.7159208448,0.13690681193897802,C
135,0.4367725939934825,2497997.0924488837,0.16004887458224865,D
136,3.986926481063755,3916608.0223259986,0.14558344458898606,D
137,4.169622462536634,3543444.2194716334,0.15547826638766787,D
138,0.07062253098869908,3716370.714186021,0.1737067493658338,D
139,4.701606404593017,4720013.793853205,0.14278045090358876,D
140,5.808747242148792,3985554.599878415,0.12231488839143331,D
141,5.196974097230355,3041993.147502634,0.1046742760751391,D
142,2.426514392000172,4110693.928253341,0.17059255879064478,D
143,3.5400516740511963,4667442.490100317,0.1529160807490762,D
144,3.764586210133973,4300952.5722453715,0.11053816853716439,D
145,1.7514900997521172,2733885.0005613836,0.17878684042628656,D
146,4.975343968274453,2928727.1056318628,0.16992349431136486,D
147,4.3743283952153575,4328120.56543109,0.1462969809192038,D
148,5.319941280084464,4580395.312186141,0.10082116658180505,D
149,3.246242492287091,2414742.015383024,0.14183635245592552,D
150,2.110784044142373,2041651.5442736612,0.12637013373654235,D
151,3.3552690703671635,2663932.8436406986,0.12055594630653912,D
152,1.2143493649565515,3243612.1315599354,0.16634011263469728,D
153,0.2237874892215041,2563558.7407328053,0.10955695826384754,D
154,0.7722361542927214,4205248.763142224,0.1654866086165086,D
155,4.6289999015444465,4890004.280978654,0.17628586936883092,D
156,0.6734486834117731,3615523.2447813503,0.13581988733604333,D
157,1.141191071706117,4473963.9880495705,0.12526029442082226,D
158,0.5668998640979974,3427368.917027341,0.11468103536612075,D
159,2.316803449547186,4043832.6235915357,0.1331320178660631,D
160,3.657026475368273,3128394.4640857247,0.13993128289416878,D
161,5.457247959989115,2188806.1331780143,0.14978793504998356,D
162,1.358324190626543,4835874.516421054,0.15067431573322992,D
163,0.9536584254338323,2262918.8523973622,0.10644627983406163,D
164,2.0847662492110928,4974100.405867815,0.15763431657497487,D
165,5.568587520310791,3741639.9397407034,0.1037181504799573,D
166,1.5022540605845847,2102481.4732858827,0.15913499247848617,D
167,4.9423090429746495,2763964.1094215205,0.16246222184503178,D
168,2.8108397476669675,3297299.556007399,0.13029636567066322,D
169,2.5619119473470877,3379865.083425155,0.17524507321117483,D
170,5.9105821222157156,4506301.162706912,0.12867851622476983,D
171,2.9362529789712735,2323730.809623597,0.1171484063534103,D
172,4.3369948209184646,2860216.904803221,0.1365458205396352,D
173,3.009059058956719,3856028.896296216,0.11253045212917873,D
174,1.9283945051708984,3089349.163749012,0.11828360932413323,D
